단속일시,단속원금,단속동,단속장소,위반내용,견인지시
2022-09-01 08:08:00,32000,광장동,광장 힐스테이 상가 건너편,주차금지(황색점선)구역,미견인
2022-09-01 08:24:00,32000,군자동,두산위브 앞,주차금지(황색점선)구역,미견인
2022-09-01 08:58:00,96000,자양동,이튼타워리버3차 앞,보도,미견인
2022-09-01 09:17:00,32000,구의동,프라임아파트 정문(213동),주정차금지(황색실선)구역,미견인
2022-09-01 09:48:00,32000,자양동,이튼타워리버3차 앞,교통소통장애,미견인
2022-09-01 10:27:00,40000,능동,서울특별시 광진구 능동로 276,보도,미견인
2022-09-01 10:31:00,32000,능동,서울특별시 광진구 능동로 270,보도,미견인
2022-09-01 10:52:00,32000,자양동,자양동 동제한의원 앞,주차금지(황색점선)구역,미견인
2022-09-01 11:21:00,40000,중곡동,군자역 1번명품갤러리앞,주정차금지(황색실선)구역,미견인
2022-09-01 13:05:00,40000,구의동,리젠트오피스텔건너편,안전지대,미견인
2022-09-01 13:10:00,32000,자양동,611-4,버스정류소,미견인
2022-09-01 13:22:00,32000,중곡동,서울특별시 광진구 천호대로 541,보도,미견인
2022-09-01 13:45:00,40000,구의동,강변역 1번 출구,주정차금지(황색실선)구역,미견인
2022-09-01 14:16:00,32000,구의동,구의동 웰츠타워 앞,교통소통장애,미견인
2022-09-01 14:17:00,32000,구의동,리젠트오피스텔건너편,안전지대,미견인
2022-09-01 14:51:00,40000,중곡동,고신경정신과의원 앞,주차금지(황색점선)구역,미견인
2022-09-01 15:13:00,120000,자양동,성동초등학교 앞,주정차금지(황색실선)구역,미견인
2022-09-01 15:45:00,32000,군자동,광진광장,주정차금지(황색실선)구역,미견인
2022-09-01 17:04:00,32000,자양동,자양동 동제한의원 앞,교통소통장애,미견인
2022-09-01 17:24:00,50000,중곡동,서울특별시 광진구 긴고랑로20길 3,버스정류소,미견인
2022-09-01 17:31:00,40000,중곡동,서울특별시 광진구 긴고랑로 43,버스정류소,미견인
2022-09-01 17:33:00,32000,화양동,건대입구 3번 출구 앞,주차금지(황색점선)구역,미견인
2022-09-01 17:37:00,32000,중곡동,277-1,횡단보도,미견인
2022-09-01 17:37:00,32000,중곡동,중곡문화체육센터 앞,주차금지(황색점선)구역,미견인
