단속장소,위도,경도
서울특별시 광진구 영화사로5길 19,37.5571013,127.0919695
서울 광진구 구의동 660-1 주차장앞,37.54285670000001,127.0926832
서울 광진구 구의동 6-4,37.5534391,127.0975366
서울 광진구 구의동 34-14,37.5523454,127.0957674
서울 광진구 중곡동 437-8,37.5567315,127.0933972
서울 광진구 광장동 381-80,37.5521737,127.0992152
서울 광진구 광장동 381-80,37.5521737,127.0992152
서울 광진구 광장동 381-80,37.5521737,127.0992152
서울 광진구 광장동 381-80,37.5521737,127.0992152
서울 광진구 광장동 381-49,37.552062,127.0998308
서울 광진구 광장동 381-49,37.552062,127.0998308
서울 광진구 광장동 381-49,37.552062,127.0998308
서울특별시 광진구 뚝섬로22가길 9,37.5358064,127.0617435
서울 광진구 구의동 220-41,37.5390731,127.0905426
서울 광진구 구의동 220-41,37.5390731,127.0905426
서울 광진구 구의동 220-41,37.5390731,127.0905426
서울특별시 광진구 자양번영로 11,37.5307091,127.0747001
서울 광진구 자양동 200,37.5358064,127.0617435
강변역 4번 출구,37.535098,127.094695
서울 광진구 자양동 8-5,37.5403467,127.0671533
서울특별시 광진구 동일로20길 56,37.5405348,127.0665011
서울특별시 광진구 동일로20길 56,37.5405348,127.0665011
"서울 광진구 천호대로132길 27 (구의동, 현대아트빌라)",37.549627,127.0892484
서울특별시 광진구 영화사로 68,37.5546405,127.0933985
서울 광진구 구의동 550,37.5553655,127.0946159
서울특별시 광진구 영화사로 67,37.5548513,127.0936575
서울특별시 광진구 영화사로 67,37.5548513,127.0936575
서울 광진구 중곡동 106-33,37.5563637,127.0939778
서울특별시 광진구 영화사로9길 52,37.5565722,127.0937986
서울 광진구 중곡동 437-8,37.5567315,127.0933972
서울 광진구 중곡동 106-47,37.55624410000001,127.0933168
서울 광진구 중곡동 440,37.55560639999999,127.0923115
서울 광진구 구의동 4-17,37.5527916,127.0992238
서울 광진구 중곡동 107-40,37.5557467,127.0923969
서울 광진구 구의동 4-17,37.5527916,127.0992238
서울 광진구 구의동 4-17,37.5527916,127.0992238
서울 광진구 광장동 381-48,37.5518641,127.0999922
서울 광진구 광장동 381-48,37.5518641,127.0999922
서울 광진구 중곡동 100-16,37.5568272,127.0920673
서울 광진구 중곡동 437-8,37.5567315,127.0933972
서울 광진구 광장동 381-48,37.5518641,127.0999922
서울 광진구 광장동 381-48,37.5518641,127.0999922
서울 광진구 광장동 381-48,37.5518641,127.0999922
서울 광진구 광장동 381-48,37.5518641,127.0999922
서울 광진구 광장동 381-48,37.5518641,127.0999922
서울 광진구 광장동 381-48,37.5518641,127.0999922
서울 광진구 광장동 381-48,37.5518641,127.0999922
서울 광진구 광장동 381-48,37.5518641,127.0999922
서울 광진구 광장동 381-48,37.5518641,127.0999922
서울 광진구 구의동 95-2,37.5515697,127.0907951
서울특별시 광진구 답십리로86길 33,37.5696006,127.0844426
서울 광진구 광장동 394-2,37.5466571,127.1018357
서울 광진구 광장동 394-2,37.5466571,127.1018357
서울 광진구 자양동 712-1,37.5342821,127.0772493
서울 광진구 자양동 712-1,37.5342821,127.0772493
건대입구 1번 출구 앞,37.540372,127.069276
서울 광진구 중곡동 100-16,37.5568272,127.0920673
지너스타워 주차장 앞,37.2008645,127.5440624
지너스타워 주차장 앞,37.2008645,127.5440624
서울 광진구 자양동 74-26,37.5329199,127.0662035
서울 광진구 화양동 17-70,37.5459273,127.0698053
지너스타워 주차장 앞,37.2008645,127.5440624
서울 광진구 화양동 46-22,37.5422603,127.0673178
서울 광진구 중곡동 316-1,37.5692617,127.0873839
서울특별시 광진구 동일로24길 28,37.5435835,127.0665552
서울특별시 광진구 자양로32길 20,37.5442439,127.0861899
서울 광진구 자양동 12-10,37.5397969,127.0636396
강변역 4번 출구,37.535098,127.094695
서울 광진구 자양동 858,37.539727,127.063309
서울 광진구 자양동 64-8,37.533589,127.0668438
서울특별시 광진구 천호대로 595,37.5557001,127.0842592
서울특별시 광진구 천호대로 593,37.5558202,127.0839505
서울특별시 광진구 아차산로 241,37.5406464,127.0701642
서울특별시 광진구 아차산로 241,37.5406464,127.0701642
서울 광진구 중곡동 150-103,37.5614019,127.0871114
서울 광진구 중곡동 150-103,37.5614019,127.0871114
서울특별시 광진구 면목로 173,37.56863450000001,127.0825936
서울 광진구 광장동 484,37.5406205,127.0986045
서울 광진구 광장동 486-1,37.5395413,127.0993685
서울 광진구 광장동 486-1,37.5395413,127.0993685
서울 광진구 광장동 486-1,37.5395413,127.0993685
지너스타워 주차장 앞,37.2008645,127.5440624
서울 광진구 중곡동 199-1,37.570186,127.0834437
건대입구 1번 출구 앞,37.540372,127.069276
지너스타워 주차장 앞,37.2008645,127.5440624
건대입구 1번 출구 앞,37.540372,127.069276
서울 광진구 구의동 147-47,37.5482321,127.0938545
서울 광진구 구의동 147-47,37.5482321,127.0938545
서울 광진구 광장동 381-50,37.5522613,127.0997795
서울 광진구 광장동 381-49,37.552062,127.0998308
서울 광진구 광장동 381-49,37.552062,127.0998308
서울 광진구 군자동 27-8,37.5533977,127.0757651
