단속일시,단속원금,단속동,단속장소,위반내용,견인지시
2022-02-01 01:00:00,40000,군자동,서울 광진구 군자동 64-2 차도,교통소통장애,미견인
2022-02-01 01:02:00,10000,중곡동,서울특별시 광진구 긴고랑로 16,버스정류소,미견인
2022-02-01 01:04:00,40000,군자동,서울 광진구 군자동 79-2,보도,미견인
2022-02-01 01:05:00,40000,중곡동,서울특별시 광진구 긴고랑로 16,버스정류소,미견인
2022-02-01 01:11:00,40000,중곡동,서울특별시 광진구 긴고랑로 43,버스정류소,미견인
2022-02-01 01:17:00,40000,중곡동,서울특별시 광진구 긴고랑로 71,버스정류소,미견인
2022-02-01 01:23:00,40000,구의동,서울 광진구 구의동 28-45 삭선자리,교통소통장애,미견인
2022-02-01 01:29:00,40000,중곡동,서울 광진구 용마산로 89 (중곡동),버스정류소,미견인
2022-02-01 01:42:00,40000,자양동,548,횡단보도,미견인
2022-02-01 07:59:00,40000,군자동,서울특별시 광진구 군자로 102,보도,미견인
2022-02-01 08:03:00,40000,군자동,서울특별시 광진구 군자로 160-1,보도,미견인
2022-02-01 09:54:00,40000,중곡동,서울특별시 광진구 천호대로 541,보도,미견인
2022-02-01 10:06:00,40000,중곡동,서울특별시 광진구 능동로 338-1,보도,미견인
2022-02-01 10:07:00,40000,중곡동,서울특별시 광진구 능동로 340,보도,미견인
2022-02-01 11:37:00,40000,자양동,서울 광진구 자양동 64-8,교통소통장애,미견인
2022-02-01 11:38:00,40000,자양동,서울 광진구 자양동 64-8,교통소통장애,미견인
2022-02-01 11:39:00,40000,자양동,서울특별시 광진구 능동로3길 5,교통소통장애,미견인
2022-02-01 11:40:00,40000,자양동,서울 광진구 자양동 64-8,도로 모퉁이,미견인
2022-02-01 11:41:00,40000,자양동,서울 광진구 자양동 64-8,교통소통장애,미견인
2022-02-01 13:22:00,40000,자양동,762,횡단보도,미견인
2022-02-01 14:37:00,40000,광장동,566-1,버스정류소,미견인
2022-02-01 14:37:00,40000,자양동,서울 광진구 자양동 74-6,도로 모퉁이,미견인
2022-02-01 14:42:00,40000,중곡동,서울 광진구 중곡동 453,버스정류소,미견인
2022-02-01 14:46:00,40000,구의동,서울특별시 광진구 자양로48길 34,교통소통장애,미견인
2022-02-01 14:49:00,40000,중곡동,서울특별시 광진구 영화사로7길 18,교통소통장애,미견인
2022-02-01 15:23:00,40000,군자동,서울 광진구 군자동 104-2,보도,미견인
2022-02-01 15:48:00,40000,중곡동,서울 광진구 중곡동 482-1,버스정류소,미견인
2022-02-01 15:49:00,40000,중곡동,서울 광진구 중곡동 482-1,교통소통장애,미견인
2022-02-01 15:50:00,40000,자양동,683-5,보도,미견인
2022-02-01 16:18:00,10000,중곡동,서울 광진구 중곡동 87-14,교통소통장애,미견인
2022-02-01 16:19:00,40000,중곡동,서울 광진구 중곡동 87-14,교통소통장애,미견인
2022-02-01 16:46:00,40000,자양동,683,횡단보도,미견인
2022-02-01 16:57:00,40000,구의동,626-1,횡단보도,미견인
2022-02-01 17:10:00,40000,구의동,626-1,횡단보도,미견인
2022-02-01 17:30:00,40000,자양동,630-11,횡단보도,미견인
2022-02-01 18:11:00,40000,자양동,853,교차로,미견인
2022-02-01 18:37:00,40000,자양동,635,횡단보도,미견인
2022-02-01 18:49:00,40000,자양동,617-36,횡단보도,미견인
2022-02-01 18:53:00,40000,자양동,634-38,횡단보도,미견인
2022-02-01 18:57:00,40000,중곡동,서울특별시 광진구 긴고랑로 43,버스정류소,미견인
2022-02-01 19:01:00,40000,자양동,605-5,횡단보도,미견인
2022-02-01 19:04:00,40000,중곡동,서울특별시 광진구 긴고랑로 15,버스정류소,미견인
2022-02-01 19:08:00,40000,중곡동,서울특별시 광진구 긴고랑로 16,버스정류소,미견인
2022-02-01 19:15:00,40000,중곡동,서울특별시 광진구 긴고랑로 43,버스정류소,미견인
2022-02-01 19:24:00,40000,중곡동,서울특별시 광진구 능동로 415,버스정류소,미견인
2022-02-01 19:28:00,40000,중곡동,서울특별시 광진구 능동로 415,버스정류소,미견인
2022-02-01 19:46:00,40000,중곡동,서울특별시 광진구 용마산로 89,버스정류소,미견인
2022-02-01 19:48:00,40000,중곡동,88-36,횡단보도,미견인
2022-02-01 19:51:00,40000,중곡동,83-16,횡단보도,미견인
2022-02-01 19:59:00,40000,중곡동,서울특별시 광진구 영화사로 37-1,버스정류소,미견인
2022-02-01 20:10:00,40000,자양동,서울 광진구 자양동 718,교차로,미견인
2022-02-01 20:18:00,40000,자양동,서울특별시 광진구 능동로1길 15,주차금지(황색점선)구역,미견인
2022-02-01 20:19:00,40000,자양동,서울특별시 광진구 능동로1길 15,주차금지(황색점선)구역,미견인
2022-02-01 20:21:00,40000,자양동,서울 광진구 자양동 64-11,교통소통장애,미견인
2022-02-01 20:29:00,40000,중곡동,서울 광진구 중곡동 58-17,보도,미견인
2022-02-01 20:30:00,50000,중곡동,서울 광진구 중곡동 58-17,보도,미견인
2022-02-01 20:40:00,40000,광장동,서울특별시 광진구 천호대로 800,보도,미견인
2022-02-01 21:48:00,50000,중곡동,서울특별시 광진구 긴고랑로 43,버스정류소,미견인
2022-02-01 23:28:00,40000,중곡동,341-5,횡단보도,미견인
2022-02-01 23:35:00,40000,중곡동,141-2,횡단보도,미견인
2022-02-01 23:44:00,40000,중곡동,서울 광진구 중곡동 437-8,주차금지(황색점선)구역,미견인
2022-02-01 23:49:00,80000,중곡동,서울 광진구 중곡동 438-2,소화전,미견인
2022-02-02 00:24:00,40000,중곡동,서울특별시 광진구 능동로 413-1,버스정류소,미견인
2022-02-02 06:51:00,10000,중곡동,167-2,버스정류소,미견인
2022-02-02 11:27:00,40000,구의동,서울특별시 광진구 광나루로56길 85,교통소통장애,미견인
2022-02-02 11:39:00,10000,구의동,626-1,횡단보도,미견인
2022-02-02 11:39:00,40000,구의동,626-1,횡단보도,미견인
2022-02-02 11:51:00,40000,광장동,서울 광진구 광장동 381-60,교통소통장애,미견인
2022-02-02 11:52:00,40000,광장동,서울 광진구 광장동 381-60,교통소통장애,미견인
2022-02-02 11:53:00,40000,광장동,서울 광진구 광장동 5-117,교통소통장애,미견인
2022-02-02 11:56:00,40000,광장동,서울 광진구 광장동 381-48,교통소통장애,미견인
2022-02-02 11:57:00,40000,광장동,서울 광진구 광장동 381-48,교통소통장애,미견인
2022-02-02 11:58:00,40000,광장동,서울 광진구 광장동 550-6,교통소통장애,미견인
2022-02-02 11:58:00,40000,광장동,서울 광진구 광장동 550-6,교통소통장애,미견인
2022-02-02 12:00:00,40000,광장동,서울 광진구 광장동 381-49,교통소통장애,미견인
2022-02-02 12:01:00,40000,광장동,서울 광진구 광장동 381-48,교통소통장애,미견인
2022-02-02 12:02:00,40000,광장동,서울 광진구 광장동 381-49,교통소통장애,미견인
2022-02-02 12:03:00,40000,광장동,서울 광진구 광장동 381-48,안전지대,미견인
2022-02-02 12:04:00,40000,광장동,서울 광진구 광장동 5-117,안전지대,미견인
2022-02-02 12:17:00,40000,구의동,서울 광진구 구의동 244-5,교통소통장애,미견인
2022-02-02 12:19:00,40000,구의동,서울특별시 광진구 아차산로 431,교통소통장애,미견인
2022-02-02 12:20:00,40000,구의동,서울특별시 광진구 아차산로 431,교통소통장애,미견인
2022-02-02 12:20:00,40000,자양동,624-45,횡단보도,미견인
2022-02-02 12:27:00,40000,자양동,626-1,횡단보도,미견인
2022-02-02 12:30:00,50000,자양동,서울 광진구 자양동 710-1,보도,미견인
2022-02-02 12:31:00,50000,자양동,서울특별시 광진구 자양로 85,보도,미견인
2022-02-02 13:39:00,40000,자양동,서울 광진구 뚝섬로56길 23 (자양동),보도,미견인
2022-02-02 14:12:00,40000,구의동,서울 광진구 아차산로 399 (구의동),보도,미견인
2022-02-02 14:16:00,40000,구의동,서울특별시 광진구 자양로18길 53,횡단보도,미견인
2022-02-02 14:43:00,40000,중곡동,서울 광진구 중곡동 437-8,교통소통장애,미견인
2022-02-02 14:53:00,40000,화양동,서울 광진구 화양동 530,교통소통장애,미견인
2022-02-02 14:54:00,40000,화양동,서울특별시 광진구 광나루로20길 17,교통소통장애,미견인
2022-02-02 14:55:00,40000,중곡동,01월 19일,버스정류소,미견인
2022-02-02 14:55:00,40000,화양동,서울특별시 광진구 광나루로20길 17,교통소통장애,미견인
2022-02-02 14:56:00,40000,화양동,서울특별시 광진구 능동로 172,교통소통장애,미견인
2022-02-02 14:57:00,40000,화양동,서울특별시 광진구 능동로 172,교통소통장애,미견인
2022-02-02 14:57:00,10000,중곡동,39-38,버스정류소,미견인
2022-02-02 15:01:00,40000,중곡동,서울특별시 광진구 면목로 181,보도,미견인
2022-02-02 15:07:00,40000,중곡동,서울특별시 광진구 동일로72길 17,보도,미견인
2022-02-02 15:11:00,40000,광장동,서울 광진구 광장동 381-48,교통소통장애,미견인
2022-02-02 15:12:00,40000,광장동,서울 광진구 광장동 381-48,교통소통장애,미견인
2022-02-02 15:12:00,40000,광장동,서울 광진구 광장동 381-48,교통소통장애,미견인
2022-02-02 15:14:00,40000,광장동,서울 광진구 광장동 381-52,교통소통장애,미견인
2022-02-02 15:14:00,40000,광장동,서울 광진구 광장동 381-52,교통소통장애,미견인
2022-02-02 15:15:00,40000,광장동,서울 광진구 광장동 381-52,교통소통장애,미견인
2022-02-02 15:18:00,40000,광장동,서울 광진구 광장동 370-3,교통소통장애,미견인
2022-02-02 15:18:00,40000,능동,서울 광진구 능동 265-12,도로 모퉁이,미견인
2022-02-02 15:20:00,40000,광장동,서울 광진구 광장동 370-3,교통소통장애,미견인
2022-02-02 15:22:00,40000,구의동,서울 광진구 광장동 550-6,교통소통장애,미견인
2022-02-02 15:23:00,40000,광장동,서울 광진구 광장동 381-49,교통소통장애,미견인
2022-02-02 15:25:00,40000,광장동,서울 광진구 광장동 381-48,안전지대,미견인
2022-02-02 15:26:00,40000,구의동,서울특별시 광진구 영화사로 111,교통소통장애,미견인
2022-02-02 15:26:00,40000,광장동,서울 광진구 광장동 5-117,교통소통장애,미견인
2022-02-02 15:27:00,40000,구의동,서울 광진구 구의동 4-17,안전지대,미견인
2022-02-02 15:36:00,40000,광장동,서울특별시 광진구 영화사로20길 25,교통소통장애,미견인
2022-02-02 15:38:00,40000,광장동,서울특별시 광진구 영화사로20길 100,교통소통장애,미견인
2022-02-02 15:39:00,40000,광장동,서울특별시 광진구 영화사로20길 100,교통소통장애,미견인
2022-02-02 15:41:00,40000,광장동,서울특별시 광진구 영화사로20길 25,교통소통장애,미견인
2022-02-02 15:41:00,40000,광장동,서울 광진구 광장동 381-17,교통소통장애,미견인
2022-02-02 15:42:00,40000,광장동,서울 광진구 광장동 381-17,교통소통장애,미견인
2022-02-02 15:43:00,40000,광장동,서울 광진구 광장동 381-17,교통소통장애,미견인
2022-02-02 15:44:00,40000,광장동,서울 광진구 광장동 381-17,교통소통장애,미견인
2022-02-02 15:44:00,40000,광장동,서울 광진구 광장동 381-17,교통소통장애,미견인
2022-02-02 15:45:00,40000,광장동,서울 광진구 광장동 381-17,교통소통장애,미견인
2022-02-02 15:46:00,40000,광장동,서울 광진구 광장동 381-17,교통소통장애,미견인
2022-02-02 15:47:00,40000,군자동,서울특별시 광진구 군자로15길 6,교통소통장애,미견인
2022-02-02 15:47:00,40000,군자동,서울특별시 광진구 군자로15길 6,교통소통장애,미견인
2022-02-02 15:48:00,40000,군자동,서울특별시 광진구 군자로15길 11,교통소통장애,미견인
2022-02-02 15:49:00,40000,광장동,서울 광진구 광장동 381-16,교통소통장애,미견인
2022-02-02 15:49:00,40000,군자동,서울특별시 광진구 군자로15길 11,교통소통장애,미견인
2022-02-02 15:49:00,40000,광장동,서울특별시 광진구 영화사로20길 100,교통소통장애,미견인
2022-02-02 15:56:00,40000,중곡동,621-4,보도,미견인
2022-02-02 15:59:00,40000,중곡동,서울 광진구 중곡동 30-80,교통소통장애,미견인
2022-02-02 16:00:00,40000,중곡동,서울 광진구 중곡동 30-80,교통소통장애,미견인
2022-02-02 16:01:00,40000,중곡동,628-14,보도,미견인
2022-02-02 16:01:00,40000,중곡동,서울특별시 광진구 능동로 지하 417,교통소통장애,미견인
2022-02-02 16:03:00,40000,자양동,서울특별시 광진구 뚝섬로56길 7,교통소통장애,미견인
2022-02-02 16:04:00,40000,중곡동,638-4,보도,미견인
2022-02-02 16:04:00,40000,자양동,서울 광진구 자양동 663-26,교통소통장애,미견인
2022-02-02 16:04:00,40000,자양동,서울특별시 광진구 뚝섬로56길 7,교통소통장애,미견인
2022-02-02 16:05:00,40000,자양동,서울특별시 광진구 뚝섬로56길 7,교통소통장애,미견인
2022-02-02 16:32:00,40000,군자동,서울 광진구 군자동 498,보도,미견인
2022-02-02 16:48:00,40000,자양동,611-3,횡단보도,미견인
2022-02-02 16:50:00,40000,자양동,서울특별시 광진구 동일로20길 45,교통소통장애,미견인
2022-02-02 16:51:00,40000,자양동,서울 광진구 자양동 8-5,교통소통장애,미견인
2022-02-02 16:52:00,40000,자양동,서울 광진구 자양동 8-5,교통소통장애,미견인
2022-02-02 16:53:00,40000,자양동,서울 광진구 자양동 8-5,교통소통장애,미견인
2022-02-02 16:53:00,40000,자양동,서울특별시 광진구 아차산로 200,교통소통장애,미견인
2022-02-02 16:54:00,40000,자양동,서울특별시 광진구 아차산로 200,교통소통장애,미견인
2022-02-02 16:57:00,40000,자양동,서울 광진구 자양동 8-5,교통소통장애,미견인
2022-02-02 16:57:00,40000,자양동,794-9,소화전,미견인
2022-02-02 17:11:00,40000,중곡동,서울 광진구 중곡동 450-2,교통소통장애,미견인
2022-02-02 17:13:00,40000,중곡동,서울 광진구 중곡동 450-2,교통소통장애,미견인
2022-02-02 17:15:00,40000,자양동,227-40,소화전,미견인
2022-02-02 17:25:00,40000,광장동,서울 광진구 광장동 370-3,안전지대,미견인
2022-02-02 17:26:00,40000,구의동,서울 광진구 광장동 381-50,안전지대,미견인
2022-02-02 17:27:00,40000,중곡동,서울 광진구 중곡동 280-4,소화전,미견인
2022-02-02 17:28:00,40000,구의동,서울 광진구 광장동 381-80,교통소통장애,미견인
2022-02-02 17:46:00,40000,군자동,서울 광진구 군자동 346-42,안전지대,미견인
2022-02-02 18:43:00,40000,자양동,610-2,보도,미견인
2022-02-02 18:45:00,40000,광장동,486-1,버스정류소,미견인
2022-02-02 19:29:00,40000,광장동,486-1,교차로,미견인
2022-02-02 19:31:00,40000,광장동,486-1,버스정류소,미견인
2022-02-02 19:33:00,40000,광장동,484,교차로,미견인
2022-02-02 19:35:00,40000,광장동,486-1,버스정류소,미견인
2022-02-02 19:50:00,50000,자양동,서울 광진구 자양동 749,교통소통장애,견인처리
2022-02-02 19:51:00,40000,중곡동,서울 광진구 중곡동 440 횡단보도,도로 모퉁이,미견인
2022-02-02 19:54:00,40000,군자동,서울특별시 광진구 광나루로17길 10,보도,미견인
2022-02-02 19:54:00,40000,자양동,서울 광진구 자양동 747,횡단보도,견인처리
2022-02-02 19:58:00,40000,군자동,서울특별시 광진구 광나루로 381,안전지대,미견인
2022-02-02 19:58:00,40000,군자동,서울특별시 광진구 광나루로 381,안전지대,미견인
2022-02-02 20:01:00,40000,군자동,서울특별시 광진구 광나루로17길 10,보도,미견인
2022-02-02 20:02:00,40000,군자동,서울특별시 광진구 광나루로 381,안전지대,미견인
2022-02-02 20:03:00,50000,중곡동,서울 광진구 중곡동 265-16 삭선자리,교통소통장애,미견인
