Date,광진구,중곡동,군자동,능동,구의동,광장동,화양동,자양동
2023-01-01,336952.25706881,80657.19159209046,19455.29535771924,11121.563931826167,77179.92987722394,34017.14274676203,23408.51933647769,90009.8980410772
2023-02-01,336530.9629036332,81090.43404943025,19512.613447648804,11159.417340027589,77599.56598874545,33986.2397427183,23498.78019971056,89964.96071679189
2023-03-01,337525.64013749646,81910.3311352297,19573.91788848976,11296.864278353314,78213.92506310092,33750.66374848111,23515.461884951237,90039.88608580886
2023-04-01,335647.21784893394,81621.32854559478,19586.86073670349,11245.364767892506,78535.73928845907,33534.83038057949,23532.51410887032,89508.49650769729
2023-05-01,334913.0103907212,81208.43702371298,19545.37430789964,11163.380792745467,78407.35639821836,33487.52274808005,23556.494670313317,89258.41714955607
2023-06-01,334861.2977175409,81169.86101851372,19496.87899480492,11214.850250698972,78404.3620342569,33414.897055331545,23534.006152264363,88988.61383176652
2023-07-01,335273.9190333734,81155.31690542575,19571.75136776454,11209.949856908832,78455.91296753491,33425.1154566067,23642.629757663213,88973.20012363193
2023-08-01,334984.1372546965,80993.42247095908,19648.27920836792,11253.42257229912,78440.37544245037,33473.24877702352,23584.485964015214,88938.17250345023
2023-09-01,333166.1160153562,80477.60059067377,19520.831745215877,11192.720027390258,78313.03664824719,33308.91902319371,23465.823407591943,88411.25368342616
2023-10-01,333150.94658773026,80840.4622497125,19500.63604900892,11175.09961480805,78259.63438162756,33350.97617087773,23443.87674620524,88294.67416919448
2023-11-01,333232.8304525902,80835.29604492201,19442.720672809744,11159.07849266106,78281.56790128189,33302.89409628094,23415.7996963233,88335.75150963695
2023-12-01,332620.03713625035,80597.71973835788,19452.57199994767,11137.405630902476,78287.79006126849,33233.054286606435,23246.244182277213,88582.1144050223
2024-01-01,331779.9519026246,80824.92641214255,19493.90832853746,11024.331840419169,77371.67438368118,33070.98570459701,23209.660226339667,86611.5136307292
2024-02-01,331343.9801216863,81280.73450190076,19561.32288884755,11078.09678138736,77910.65585073973,33110.53400929207,23348.536064776155,86601.00766888127
2024-03-01,330452.62984411314,81467.99287200309,19565.66849344285,11050.937940551355,78370.73081622626,32852.70725384098,23335.63861261181,86203.68079007942
2024-04-01,330654.9290386671,81614.03868760455,19559.19559710648,11104.639802335958,78454.71411317328,32676.311784896203,23390.792694436645,85992.05190348088
2024-05-01,331147.5061161714,81954.13808286944,19638.16284343442,11221.420890393045,78852.7181809297,32540.80812200105,23397.86473966653,86042.72241179728
2024-06-01,330782.1926168245,81723.12023064563,19678.949467343307,11263.718639151284,79092.27979707035,32508.78143393512,23396.273553303185,86318.22775447495
2024-07-01,329835.79305949673,81510.2916519905,19622.56475851216,11161.294553710612,79148.14824370014,32492.134254248147,23369.646747802883,86165.34168094957
2024-08-01,329523.5008674132,81377.40294583455,19568.431397423185,11159.835300684308,79018.66242010263,32453.566371111745,23383.97494448496,85845.63355611605
2024-09-01,329239.1948935383,81280.51354524316,19572.29837609688,11136.37622727095,78819.16294197294,32445.999406429717,23386.30595005766,85532.94109865393
2024-10-01,328223.81438511965,80699.59810791195,19501.34048481949,11105.551491506236,78632.19689428098,32399.04766422254,23267.947040859308,85155.05410315494
2024-11-01,327474.6020247256,80712.18106898028,19529.84261679556,11061.417480348577,78436.40693922005,32392.57862821737,23147.652506649167,85071.88730606699
2024-12-01,327781.5948048542,81118.89420372795,19554.230144807814,11072.575073905346,78209.75480959982,32329.017500108966,23110.46063857204,84474.66528452313
2025-01-01,328085.8451993357,81814.94867975578,19563.694623185733,11125.834366276142,78664.08614231298,32203.13194201581,23101.18795219128,84581.11057596664
2025-02-01,327748.1143278212,82227.59655931481,19601.004431000994,11137.544146572014,78873.18451481365,32029.34410166515,23093.849579828708,84512.634872267
2025-03-01,326406.880738274,82111.21098271004,19629.6399429195,11069.1410781264,78940.66729542987,31916.64172700321,23160.57108388152,83409.11277398888
2025-04-01,325933.9053202188,82120.86652544617,19630.48080559076,11089.877463587958,79109.8712313955,31726.186547810816,23202.766649961915,83099.5823851829
2025-05-01,326009.04075379,82208.97360874015,19669.6486662648,11140.16376813532,79336.39939414863,31619.7779603244,23215.132060961576,83053.87330119792
2025-06-01,325735.47715813294,82037.82124414161,19679.422595853684,11184.108663827294,79493.29471639951,31574.312492894234,23206.098113076638,83145.72224955377
2025-07-01,325242.2949935891,81890.6968447952,19665.65368883118,11113.58534134644,79544.75066582682,31566.350833041797,23224.997334323456,83033.90465014543
2025-08-01,324948.7991880304,81749.37252503006,19656.08044590175,11127.59999964895,79451.75147159572,31557.44233889042,23216.16301833737,82808.97070611308
2025-09-01,324150.19184011035,81509.04002708636,19616.86082696224,11092.017144683396,79275.66537878872,31497.71149187504,23177.511043071736,82424.39734879784
2025-10-01,323459.67560800794,81242.33197685773,19562.943271912394,11065.613558913316,79133.11384932004,31480.035425654853,23090.363097023244,82132.24411774769
2025-11-01,322995.56255652185,81256.24378432936,19562.760260435447,11031.239249619484,79011.49910758618,31459.910030619,23001.61218705976,82090.77926409905
2025-12-01,323005.2981981928,81451.10970878987,19581.60816830057,11032.19283278981,78869.8848084354,31394.00487695799,22920.74741199931,81785.53469666025
